Timestamp(us),Time,CPU_Core,PID,TID,Command,FD,Raw_Cmd_Hex,IOCTL_Dir,IOCTL_Type(Char),IOCTL_Nr,Data_Size_Bytes
7644018537,15:57:17,14,18853,18853,python,3231285064,0x10,NONE,0x00,16,0
7644018714,15:57:17,14,18853,18853,python,3231285064,0x10,NONE,0x00,16,0
7644018903,15:57:17,14,18853,18853,python,3231285064,0x10,NONE,0x00,16,0
7644019096,15:57:17,14,18853,18853,python,3231285064,0x10,NONE,0x00,16,0
7644019336,15:57:17,14,18853,18853,python,3231285064,0x10,NONE,0x00,16,0
7644020153,15:57:17,14,18853,18853,python,3231285064,0x10,NONE,0x00,16,0
7644020634,15:57:17,14,18853,18853,python,3231285064,0x10,NONE,0x00,16,0
7644020747,15:57:17,14,18853,18853,python,3231285064,0x10,NONE,0x00,16,0
7644020877,15:57:17,14,18853,18853,python,3231285064,0x10,NONE,0x00,16,0
7644020988,15:57:17,14,18853,18853,python,3231285064,0x10,NONE,0x00,16,0
7644021989,15:57:17,14,18853,18853,python,3231285064,0x10,NONE,0x00,16,0
7644022284,15:57:17,14,18853,18853,python,3231285064,0x10,NONE,0x00,16,0
7644022674,15:57:17,14,18853,18853,python,3231285064,0x10,NONE,0x00,16,0
7644023223,15:57:17,14,18853,18853,python,3231285064,0x10,NONE,0x00,16,0
7644023432,15:57:17,14,18853,18853,python,3231285064,0x10,NONE,0x00,16,0
7644023619,15:57:17,14,18853,18853,python,3231285064,0x10,NONE,0x00,16,0
7644024348,15:57:17,14,18853,18853,python,3231285064,0x10,NONE,0x00,16,0
7644024615,15:57:17,14,18853,18853,python,3231285064,0x10,NONE,0x00,16,0
7644024772,15:57:17,14,18853,18853,python,3231285064,0x10,NONE,0x00,16,0
7644025025,15:57:17,14,18853,18853,python,3231285064,0x10,NONE,0x00,16,0
7644025221,15:57:17,14,18853,18853,python,3231285064,0x10,NONE,0x00,16,0
7644025770,15:57:17,14,18853,18853,python,3231285064,0x10,NONE,0x00,16,0
7644026313,15:57:17,14,18853,18853,python,3231285064,0x10,NONE,0x00,16,0
7644026533,15:57:17,14,18853,18853,python,3231285064,0x10,NONE,0x00,16,0
7644026699,15:57:17,14,18853,18853,python,3231285064,0x10,NONE,0x00,16,0
7644027049,15:57:17,14,18853,18853,python,3231285064,0x10,NONE,0x00,16,0
7644027354,15:57:17,14,18853,18853,python,3231285064,0x10,NONE,0x00,16,0
7644027498,15:57:17,14,18853,18853,python,3231285064,0x10,NONE,0x00,16,0
7644028333,15:57:17,14,18853,18853,python,3231285064,0x10,NONE,0x00,16,0
7644028504,15:57:17,14,18853,18853,python,3231285064,0x10,NONE,0x00,16,0
7644030195,15:57:17,14,18853,18853,python,3231285064,0x10,NONE,0x00,16,0
7644030893,15:57:17,14,18853,18853,python,3231285064,0x10,NONE,0x00,16,0
7644031055,15:57:17,14,18853,18853,python,3231285064,0x10,NONE,0x00,16,0
7644031223,15:57:17,14,18853,18853,python,3231285064,0x10,NONE,0x00,16,0
7644031721,15:57:17,14,18853,18853,python,3231285064,0x10,NONE,0x00,16,0
7644032258,15:57:17,14,18853,18853,python,3231285064,0x10,NONE,0x00,16,0
7644032424,15:57:17,14,18853,18853,python,3231285064,0x10,NONE,0x00,16,0
7644032899,15:57:17,14,18853,18853,python,3231285064,0x10,NONE,0x00,16,0
7644033088,15:57:17,14,18853,18853,python,3231285064,0x10,NONE,0x00,16,0
7644033479,15:57:17,14,18853,18853,python,3231285064,0x10,NONE,0x00,16,0
7644033643,15:57:17,14,18853,18853,python,3231285064,0x10,NONE,0x00,16,0
7644034454,15:57:17,14,18853,18853,python,3231285064,0x10,NONE,0x00,16,0
7644035131,15:57:17,14,18853,18853,python,3231285064,0x10,NONE,0x00,16,0
7644035427,15:57:17,14,18853,18853,python,3231285064,0x10,NONE,0x00,16,0
7644035729,15:57:17,14,18853,18853,python,3231285064,0x10,NONE,0x00,16,0
7644036129,15:57:17,14,18853,18853,python,3231285064,0x10,NONE,0x00,16,0
7644037088,15:57:17,14,18853,18853,python,3231285064,0x10,NONE,0x00,16,0
7644037297,15:57:17,14,18853,18853,python,3231285064,0x10,NONE,0x00,16,0
7644037721,15:57:17,14,18853,18853,python,3231285064,0x10,NONE,0x00,16,0
7644037885,15:57:17,14,18853,18853,python,3231285064,0x10,NONE,0x00,16,0
7644038079,15:57:17,14,18853,18853,python,3231285064,0x10,NONE,0x00,16,0
7644038248,15:57:17,14,18853,18853,python,3231285064,0x10,NONE,0x00,16,0
7644038996,15:57:17,14,18853,18853,python,3231285064,0x10,NONE,0x00,16,0
7644039228,15:57:17,14,18853,18853,python,3231285064,0x10,NONE,0x00,16,0
7644039453,15:57:17,14,18853,18853,python,3231285064,0x10,NONE,0x00,16,0
7644039659,15:57:17,14,18853,18853,python,3231285064,0x10,NONE,0x00,16,0
7644040266,15:57:17,14,18853,18853,python,3231285064,0x10,NONE,0x00,16,0
7644041430,15:57:17,14,18853,18853,python,3231285064,0x10,NONE,0x00,16,0
