Time,Latency_Delta_ms,Direction,Src_IP,Dest_IP,Payload_MB
16:02:06,2.74,IN_RECV,192.168.52.99,192.168.52.110,0.25
16:02:06,3.39,IN_RECV,192.168.52.99,192.168.52.110,0.25
16:02:06,0.98,IN_RECV,192.168.52.99,192.168.52.110,0.25
16:02:06,1.79,IN_RECV,192.168.52.99,192.168.52.110,0.25
16:02:06,0.59,IN_RECV,192.168.52.99,192.168.52.110,0.25
16:02:06,8.25,IN_RECV,192.168.52.99,192.168.52.110,0.25
16:02:06,0.97,IN_RECV,192.168.52.99,192.168.52.110,0.25
16:02:06,0.73,IN_RECV,192.168.52.99,192.168.52.110,0.25
16:02:06,2.58,IN_RECV,192.168.52.99,192.168.52.110,0.25
16:02:06,46.85,IN_RECV,192.168.52.99,192.168.52.110,0.25
16:02:06,1.35,IN_RECV,192.168.52.99,192.168.52.110,0.25
16:02:06,1.0,IN_RECV,192.168.52.99,192.168.52.110,0.25
16:02:06,2.64,IN_RECV,192.168.52.99,192.168.52.110,0.25
16:02:06,12.61,IN_RECV,192.168.52.99,192.168.52.110,0.25
16:02:06,3.54,IN_RECV,192.168.52.99,192.168.52.110,0.25
16:02:06,7.66,IN_RECV,192.168.52.99,192.168.52.110,0.25
16:02:06,1.02,IN_RECV,192.168.52.99,192.168.52.110,0.25
16:02:06,0.99,IN_RECV,192.168.52.99,192.168.52.110,0.25
16:02:06,2.81,IN_RECV,192.168.52.99,192.168.52.110,0.25
16:02:06,3.21,IN_RECV,192.168.52.99,192.168.52.110,0.25
16:02:06,3.67,IN_RECV,192.168.52.99,192.168.52.110,0.25
16:02:06,6.79,IN_RECV,192.168.52.99,192.168.52.110,0.25
16:02:06,0.81,IN_RECV,192.168.52.99,192.168.52.110,0.25
16:02:06,1.32,IN_RECV,192.168.52.99,192.168.52.110,0.25
16:02:06,3.79,IN_RECV,192.168.52.99,192.168.52.110,0.25
16:02:06,63.5,IN_RECV,192.168.52.99,192.168.52.110,0.25
16:02:06,1.24,IN_RECV,192.168.52.99,192.168.52.110,0.25
16:02:06,10.64,IN_RECV,192.168.52.99,192.168.52.110,0.25
16:02:06,10.66,IN_RECV,192.168.52.99,192.168.52.110,0.25
16:02:06,8.05,IN_RECV,192.168.52.99,192.168.52.110,0.25
16:02:06,0.96,IN_RECV,192.168.52.99,192.168.52.110,0.25
16:02:06,0.77,IN_RECV,192.168.52.99,192.168.52.110,0.25
16:02:06,3.08,IN_RECV,192.168.52.99,192.168.52.110,0.25
16:02:06,2.99,IN_RECV,192.168.52.99,192.168.52.110,0.25
16:02:06,3.45,IN_RECV,192.168.52.99,192.168.52.110,0.25
16:02:07,37.71,IN_RECV,192.168.52.99,192.168.52.110,0.25
16:02:07,26.03,IN_RECV,192.168.52.99,192.168.52.110,0.25
16:02:07,12.94,IN_RECV,192.168.52.99,192.168.52.110,0.25
16:02:07,2.29,IN_RECV,192.168.52.99,192.168.52.110,0.25
16:02:07,1` .32,IN_RECV,192.168.52.99,192.168.52.110,0.25
16:02:07,3.3,IN_RECV,192.168.52.99,192.168.52.110,0.25
16:02:07,3.53,IN_RECV,192.168.52.99,192.168.52.110,0.25
16:02:07,3.96,IN_RECV,192.168.52.99,192.168.52.110,0.25
16:02:07,15.88,IN_RECV,192.168.52.99,192.168.52.110,0.25
16:02:07,1.16,IN_RECV,192.168.52.99,192.168.52.110,0.25
16:02:07,61.78,IN_RECV,192.168.52.99,192.168.52.110,0.25
16:02:07,1.2,IN_RECV,192.168.52.99,192.168.52.110,0.25
16:02:07,3.59,IN_RECV,192.168.52.99,192.168.52.110,0.25
16:02:07,3.46,IN_RECV,192.168.52.99,192.168.52.110,0.25
16:02:07,3.62,IN_RECV,192.168.52.99,192.168.52.110,0.25
16:02:07,0.91,IN_RECV,192.168.52.99,192.168.52.110,0.25
16:02:07,71.96,IN_RECV,192.168.52.99,192.168.52.110,0.25
16:02:07,19.65,IN_RECV,192.168.52.99,192.168.52.110,0.25
16:02:07,1.09,IN_RECV,192.168.52.99,192.168.52.110,0.25
16:02:07,0.99,IN_RECV,192.168.52.99,192.168.52.110,0.25
16:02:07,2.45,IN_RECV,192.168.52.99,192.168.52.110,0.25
16:02:07,4.31,IN_RECV,192.168.52.99,192.168.52.110,0.25
16:02:07,25.41,IN_RECV,192.168.52.99,192.168.52.110,0.25
16:02:07,1.18,IN_RECV,192.168.52.99,192.168.52.110,0.25
16:02:07,1.17,IN_RECV,192.168.52.99,192.168.52.110,0.25
16:02:07,2.68,IN_RECV,192.168.52.99,192.168.52.110,0.25
16:02:07,29.48,IN_RECV,192.168.52.99,192.168.52.110,0.25
16:02:07,1.19,IN_RECV,192.168.52.99,192.168.52.110,0.25
16:02:07,0.81,IN_RECV,192.168.52.99,192.168.52.110,0.25
16:02:07,2.59,IN_RECV,192.168.52.99,192.168.52.110,0.25
16:02:07,16.0,IN_RECV,192.168.52.99,192.168.52.110,0.25
16:02:07,1.14,IN_RECV,192.168.52.99,192.168.52.110,0.25
16:02:07,0.88,IN_RECV,192.168.52.99,192.168.52.110,0.25
16:02:07,2.6,IN_RECV,192.168.52.99,192.168.52.110,0.25
16:02:07,27.18,IN_RECV,192.168.52.99,192.168.52.110,0.25
16:02:07,1.11,IN_RECV,192.168.52.99,192.168.52.110,0.25
16:02:07,1.2,IN_RECV,192.168.52.99,192.168.52.110,0.25
16:02:07,2.54,IN_RECV,192.168.52.99,192.168.52.110,0.25
16:02:07,3.72,IN_RECV,192.168.52.99,192.168.52.110,0.25
