Timestamp(us),Time,Direction,PID,TID,Command,Src_IP,Dest_IP,Port,Payload_Size_Bytes
7889437355,16:01:22,IN_RECV,18853,18853,python,127.0.0.1,127.0.0.1,8000,8192
7889437439,16:01:22,IN_RECV,18853,18853,python,127.0.0.1,127.0.0.1,8000,8192
7889437522,16:01:22,IN_RECV,18853,18853,python,127.0.0.1,127.0.0.1,8000,8192
7889437605,16:01:22,IN_RECV,18853,18853,python,127.0.0.1,127.0.0.1,8000,8192
7889437642,16:01:22,IN_RECV,18853,18853,python,127.0.0.1,127.0.0.1,8000,8192
7889437725,16:01:22,IN_RECV,18853,18853,python,127.0.0.1,127.0.0.1,8000,8192
7889437807,16:01:22,IN_RECV,18853,18853,python,127.0.0.1,127.0.0.1,8000,8192
7889437891,16:01:22,IN_RECV,18853,18853,python,127.0.0.1,127.0.0.1,8000,8192
7889437972,16:01:22,IN_RECV,18853,18853,python,127.0.0.1,127.0.0.1,8000,8192
7889438051,16:01:22,IN_RECV,18853,18853,python,127.0.0.1,127.0.0.1,8000,8192
7889438152,16:01:22,IN_RECV,18853,18853,python,127.0.0.1,127.0.0.1,8000,8192
7889438235,16:01:22,IN_RECV,18853,18853,python,127.0.0.1,127.0.0.1,8000,8192
7889438322,16:01:22,IN_RECV,18853,18853,python,127.0.0.1,127.0.0.1,8000,8192
7889438542,16:01:22,IN_RECV,18853,18853,python,127.0.0.1,127.0.0.1,8000,8192
7889438684,16:01:22,IN_RECV,18853,18853,python,127.0.0.1,127.0.0.1,8000,8192
7889438829,16:01:22,IN_RECV,18853,18853,python,127.0.0.1,127.0.0.1,8000,8192
7889438919,16:01:22,IN_RECV,18853,18853,python,127.0.0.1,127.0.0.1,8000,8192
7889439059,16:01:22,IN_RECV,18853,18853,python,127.0.0.1,127.0.0.1,8000,8192
7889439180,16:01:22,IN_RECV,18853,18853,python,127.0.0.1,127.0.0.1,8000,8192
7889439218,16:01:22,IN_RECV,18853,18853,python,127.0.0.1,127.0.0.1,8000,8192
7889439308,16:01:22,IN_RECV,18853,18853,python,127.0.0.1,127.0.0.1,8000,8192
7889439394,16:01:22,IN_RECV,18853,18853,python,127.0.0.1,127.0.0.1,8000,8192
7889439477,16:01:22,IN_RECV,18853,18853,python,127.0.0.1,127.0.0.1,8000,8192
7889439561,16:01:22,IN_RECV,18853,18853,python,127.0.0.1,127.0.0.1,8000,8192
7889439599,16:01:22,IN_RECV,18853,18853,python,127.0.0.1,127.0.0.1,8000,8192
7889439685,16:01:22,IN_RECV,18853,18853,python,127.0.0.1,127.0.0.1,8000,8192
7889439768,16:01:22,IN_RECV,18853,18853,python,127.0.0.1,127.0.0.1,8000,8192
7889439853,16:01:22,IN_RECV,18853,18853,python,127.0.0.1,127.0.0.1,8000,8192
