Time,Event_Type,Direction,Src_IP,Dest_IP,Payload_MB_or_Delay_MS
00:47:27,NETWORK_IO,IN_RECV,192.168.52.99,192.168.52.110,0.25
00:47:27,NETWORK_IO,IN_RECV,192.168.52.99,192.168.52.110,0.25
00:47:27,NETWORK_IO,IN_RECV,192.168.52.99,192.168.52.110,0.25
00:47:27,NETWORK_IO,IN_RECV,192.168.52.99,192.168.52.110,0.25
00:47:27,NETWORK_IO,IN_RECV,192.168.52.99,192.168.52.110,0.25
00:47:27,NETWORK_IO,IN_RECV,192.168.52.99,192.168.52.110,0.25
00:47:27,NETWORK_IO,IN_RECV,192.168.52.99,192.168.52.110,0.25
00:47:27,NETWORK_IO,IN_RECV,192.168.52.99,192.168.52.110,0.25
00:47:27,NETWORK_IO,IN_RECV,192.168.52.99,192.168.52.110,0.25
00:47:27,NETWORK_IO,IN_RECV,192.168.52.99,192.168.52.110,0.25
00:47:27,NETWORK_IO,IN_RECV,192.168.52.99,192.168.52.110,0.25
00:47:27,NETWORK_IO,IN_RECV,192.168.52.99,192.168.52.110,0.25
00:47:27,NETWORK_IO,IN_RECV,192.168.52.99,192.168.52.110,0.25
00:47:27,NETWORK_IO,IN_RECV,192.168.52.99,192.168.52.110,0.25
00:47:27,NETWORK_IO,IN_RECV,192.168.52.99,192.168.52.110,0.25
00:47:27,NETWORK_IO,IN_RECV,192.168.52.99,192.168.52.110,0.25
00:47:27,NETWORK_IO,IN_RECV,192.168.52.99,192.168.52.110,0.25
00:47:27,NETWORK_IO,IN_RECV,192.168.52.99,192.168.52.110,0.25
00:47:27,NETWORK_IO,IN_RECV,192.168.52.99,192.168.52.110,0.25
00:47:27,NETWORK_IO,IN_RECV,192.168.52.99,192.168.52.110,0.25
00:47:27,NETWORK_IO,IN_RECV,192.168.52.99,192.168.52.110,0.25
00:47:27,NETWORK_IO,IN_RECV,192.168.52.99,192.168.52.110,0.25
00:47:27,NETWORK_IO,IN_RECV,192.168.52.99,192.168.52.110,0.25
00:47:27,NETWORK_IO,IN_RECV,192.168.52.99,192.168.52.110,0.25
00:47:27,NETWORK_IO,IN_RECV,192.168.52.99,192.168.52.110,0.25
00:47:27,NETWORK_IO,IN_RECV,192.168.52.99,192.168.52.110,0.25
00:47:27,NETWORK_IO,IN_RECV,192.168.52.99,192.168.52.110,0.25
00:47:27,NETWORK_IO,IN_RECV,192.168.52.99,192.168.52.110,0.25
00:47:27,NETWORK_IO,IN_RECV,192.168.52.99,192.168.52.110,0.25
00:47:27,NETWORK_IO,IN_RECV,192.168.52.99,192.168.52.110,0.25
00:47:27,NETWORK_IO,IN_RECV,192.168.52.99,192.168.52.110,0.25
00:47:27,NETWORK_IO,IN_RECV,192.168.52.99,192.168.52.110,0.25
00:47:27,NETWORK_IO,IN_RECV,192.168.52.99,192.168.52.110,0.25
00:47:27,NETWORK_IO,IN_RECV,192.168.52.99,192.168.52.110,0.25
00:47:27,NETWORK_IO,IN_RECV,192.168.52.99,192.168.52.110,0.25
00:47:27,NETWORK_IO,IN_RECV,192.168.52.99,192.168.52.110,0.25
00:47:27,NETWORK_IO,IN_RECV,192.168.52.99,192.168.52.110,0.25
00:47:27,NETWORK_IO,IN_RECV,192.168.52.99,192.168.52.110,0.25
00:47:27,NETWORK_IO,IN_RECV,192.168.52.99,192.168.52.110,0.25
00:47:27,NETWORK_IO,IN_RECV,192.168.52.99,192.168.52.110,0.25
00:47:27,NETWORK_IO,IN_RECV,192.168.52.99,192.168.52.110,0.25
00:47:27,NETWORK_IO,IN_RECV,192.168.52.99,192.168.52.110,0.25
00:47:27,NETWORK_IO,IN_RECV,192.168.52.99,192.168.52.110,0.25
00:47:27,NETWORK_IO,IN_RECV,192.168.52.99,192.168.52.110,0.25
00:47:27,NETWORK_IO,IN_RECV,192.168.52.99,192.168.52.110,0.25
00:47:27,NETWORK_IO,IN_RECV,192.168.52.99,192.168.52.110,0.25
00:47:27,NETWORK_IO,IN_RECV,192.168.52.99,192.168.52.110,0.25
00:47:27,NETWORK_IO,IN_RECV,192.168.52.99,192.168.52.110,0.25
00:47:27,NETWORK_IO,IN_RECV,192.168.52.99,192.168.52.110,0.25
00:47:27,NETWORK_IO,IN_RECV,192.168.52.99,192.168.52.110,0.25
00:47:27,NETWORK_IO,IN_RECV,192.168.52.99,192.168.52.110,0.25
00:47:28,NETWORK_IO,IN_RECV,192.168.52.99,192.168.52.110,0.25
00:47:28,NETWORK_IO,IN_RECV,192.168.52.99,192.168.52.110,0.25
00:47:28,NETWORK_IO,IN_RECV,192.168.52.99,192.168.52.110,0.25
00:47:28,NETWORK_IO,IN_RECV,192.168.52.99,192.168.52.110,0.25
00:47:28,NETWORK_IO,IN_RECV,192.168.52.99,192.168.52.110,0.25
00:47:28,NETWORK_IO,IN_RECV,192.168.52.99,192.168.52.110,0.25
00:47:28,NETWORK_IO,IN_RECV,192.168.52.99,192.168.52.110,0.25
00:47:28,NETWORK_IO,IN_RECV,192.168.52.99,192.168.52.110,0.25
00:47:28,NETWORK_IO,IN_RECV,192.168.52.99,192.168.52.110,0.25
00:47:28,NETWORK_IO,IN_RECV,192.168.52.99,192.168.52.110,0.25
00:47:28,NETWORK_IO,IN_RECV,192.168.52.99,192.168.52.110,0.25
00:47:28,NETWORK_IO,IN_RECV,192.168.52.99,192.168.52.110,0.25
00:47:28,NETWORK_IO,IN_RECV,192.168.52.99,192.168.52.110,0.25
00:47:28,NETWORK_IO,IN_RECV,192.168.52.99,192.168.52.110,0.25
00:47:28,NETWORK_IO,IN_RECV,192.168.52.99,192.168.52.110,0.25
00:47:28,NETWORK_IO,IN_RECV,192.168.52.99,192.168.52.110,0.25
00:47:28,NETWORK_IO,IN_RECV,192.168.52.99,192.168.52.110,0.25
00:47:28,NETWORK_IO,IN_RECV,192.168.52.99,192.168.52.110,0.25
00:47:28,NETWORK_IO,IN_RECV,192.168.52.99,192.168.52.110,0.25
00:47:28,NETWORK_IO,IN_RECV,192.168.52.99,192.168.52.110,0.25
00:47:28,NETWORK_IO,IN_RECV,192.168.52.99,192.168.52.110,0.25
00:47:28,NETWORK_IO,IN_RECV,192.168.52.99,192.168.52.110,0.25
00:47:28,NETWORK_IO,IN_RECV,192.168.52.99,192.168.52.110,0.25
00:47:28,NETWORK_IO,IN_RECV,192.168.52.99,192.168.52.110,0.25
00:47:28,NETWORK_IO,IN_RECV,192.168.52.99,192.168.52.110,0.25
00:47:28,NETWORK_IO,IN_RECV,192.168.52.99,192.168.52.110,0.25
00:47:28,NETWORK_IO,IN_RECV,192.168.52.99,192.168.52.110,0.25
00:47:28,NETWORK_IO,IN_RECV,192.168.52.99,192.168.52.110,0.25
00:47:28,NETWORK_IO,IN_RECV,192.168.52.99,192.168.52.110,0.25
00:47:28,NETWORK_IO,IN_RECV,192.168.52.99,192.168.52.110,0.25
00:47:28,NETWORK_IO,IN_RECV,192.168.52.99,192.168.52.110,0.25
00:47:28,NETWORK_IO,IN_RECV,192.168.52.99,192.168.52.110,0.25
00:47:28,NETWORK_IO,IN_RECV,192.168.52.99,192.168.52.110,0.25
00:47:28,NETWORK_IO,IN_RECV,192.168.52.99,192.168.52.110,0.25
00:47:28,NETWORK_IO,IN_RECV,192.168.52.99,192.168.52.110,0.25
00:47:28,NETWORK_IO,IN_RECV,192.168.52.99,192.168.52.110,0.25
00:47:28,NETWORK_IO,IN_RECV,192.168.52.99,192.168.52.110,0.25
00:47:28,NETWORK_IO,IN_RECV,192.168.52.99,192.168.52.110,0.25
00:47:28,NETWORK_IO,IN_RECV,192.168.52.99,192.168.52.110,0.25
00:47:28,NETWORK_IO,IN_RECV,192.168.52.99,192.168.52.110,0.25
00:47:28,NETWORK_IO,IN_RECV,192.168.52.99,192.168.52.110,0.25
00:47:28,NETWORK_IO,IN_RECV,192.168.52.99,192.168.52.110,0.25
00:47:28,NETWORK_IO,IN_RECV,192.168.52.99,192.168.52.110,0.25
00:47:28,NETWORK_IO,IN_RECV,192.168.52.99,192.168.52.110,0.25
00:47:28,NETWORK_IO,IN_RECV,192.168.52.99,192.168.52.110,0.25
00:47:28,NETWORK_IO,IN_RECV,192.168.52.99,192.168.52.110,0.25
00:47:28,NETWORK_IO,IN_RECV,192.168.52.99,192.168.52.110,0.25
00:47:28,NETWORK_IO,IN_RECV,192.168.52.99,192.168.52.110,0.25
00:47:28,NETWORK_IO,IN_RECV,192.168.52.99,192.168.52.110,0.25
00:47:28,NETWORK_IO,IN_RECV,192.168.52.99,192.168.52.110,0.25
00:47:28,NETWORK_IO,IN_RECV,192.168.52.99,192.168.52.110,0.25
00:47:28,NETWORK_IO,IN_RECV,192.168.52.99,192.168.52.110,0.25
00:47:28,NETWORK_IO,IN_RECV,192.168.52.99,192.168.52.110,0.25
00:47:28,NETWORK_IO,IN_RECV,192.168.52.99,192.168.52.110,0.25
00:47:28,NETWORK_IO,IN_RECV,192.168.52.99,192.168.52.110,0.25
00:47:28,NETWORK_IO,IN_RECV,192.168.52.99,192.168.52.110,0.25
00:47:28,SCHED_DELAY,CPU_WAIT,LOCAL,LOCAL,2.0081
00:47:28,NETWORK_IO,IN_RECV,192.168.52.99,192.168.52.110,0.25
00:47:28,NETWORK_IO,IN_RECV,192.168.52.99,192.168.52.110,0.25
00:47:28,NETWORK_IO,IN_RECV,192.168.52.99,192.168.52.110,0.25
00:47:28,NETWORK_IO,IN_RECV,192.168.52.99,192.168.52.110,0.25
00:47:28,NETWORK_IO,IN_RECV,192.168.52.99,192.168.52.110,0.25
00:47:28,NETWORK_IO,IN_RECV,192.168.52.99,192.168.52.110,0.25
00:47:28,NETWORK_IO,IN_RECV,192.168.52.99,192.168.52.110,0.25
00:47:28,NETWORK_IO,IN_RECV,192.168.52.99,192.168.52.110,0.25
00:47:28,NETWORK_IO,IN_RECV,192.168.52.99,192.168.52.110,0.25
00:47:28,NETWORK_IO,IN_RECV,192.168.52.99,192.168.52.110,0.25
00:47:28,NETWORK_IO,IN_RECV,192.168.52.99,192.168.52.110,0.25
00:47:28,NETWORK_IO,IN_RECV,192.168.52.99,192.168.52.110,0.25
00:47:28,NETWORK_IO,IN_RECV,192.168.52.99,192.168.52.110,0.25
00:47:28,NETWORK_IO,IN_RECV,192.168.52.99,192.168.52.110,0.25
00:47:28,NETWORK_IO,IN_RECV,192.168.52.99,192.168.52.110,0.25
00:47:28,NETWORK_IO,IN_RECV,192.168.52.99,192.168.52.110,0.25
00:47:28,NETWORK_IO,IN_RECV,192.168.52.99,192.168.52.110,0.25
00:47:28,NETWORK_IO,IN_RECV,192.168.52.99,192.168.52.110,0.25
00:47:28,NETWORK_IO,IN_RECV,192.168.52.99,192.168.52.110,0.25
00:47:28,NETWORK_IO,IN_RECV,192.168.52.99,192.168.52.110,0.25
00:47:28,NETWORK_IO,IN_RECV,192.168.52.99,192.168.52.110,0.25
00:47:28,NETWORK_IO,IN_RECV,192.168.52.99,192.168.52.110,0.25
00:47:28,NETWORK_IO,IN_RECV,192.168.52.99,192.168.52.110,0.25
00:47:28,NETWORK_IO,IN_RECV,192.168.52.99,192.168.52.110,0.25
00:47:28,NETWORK_IO,IN_RECV,192.168.52.99,192.168.52.110,0.25
00:47:28,NETWORK_IO,IN_RECV,192.168.52.99,192.168.52.110,0.25
00:47:28,NETWORK_IO,IN_RECV,192.168.52.99,192.168.52.110,0.25
00:47:28,NETWORK_IO,IN_RECV,192.168.52.99,192.168.52.110,0.25
00:47:28,NETWORK_IO,IN_RECV,192.168.52.99,192.168.52.110,0.25
00:47:28,NETWORK_IO,IN_RECV,192.168.52.99,192.168.52.110,0.25
00:47:28,NETWORK_IO,IN_RECV,192.168.52.99,192.168.52.110,0.25
00:47:28,NETWORK_IO,IN_RECV,192.168.52.99,192.168.52.110,0.25
00:47:28,NETWORK_IO,IN_RECV,192.168.52.99,192.168.52.110,0.25
00:47:28,NETWORK_IO,IN_RECV,192.168.52.99,192.168.52.110,0.25
00:47:28,NETWORK_IO,IN_RECV,192.168.52.99,192.168.52.110,0.25
00:47:28,NETWORK_IO,IN_RECV,192.168.52.99,192.168.52.110,0.25
00:47:28,NETWORK_IO,IN_RECV,192.168.52.99,192.168.52.110,0.25
00:47:28,NETWORK_IO,IN_RECV,192.168.52.99,192.168.52.110,0.25
00:47:28,NETWORK_IO,IN_RECV,192.168.52.99,192.168.52.110,0.25
00:47:28,NETWORK_IO,IN_RECV,192.168.52.99,192.168.52.110,0.25
00:47:28,NETWORK_IO,IN_RECV,192.168.52.99,192.168.52.110,0.25
00:47:28,NETWORK_IO,IN_RECV,192.168.52.99,192.168.52.110,0.25
00:47:28,NETWORK_IO,IN_RECV,192.168.52.99,192.168.52.110,0.25
00:47:28,NETWORK_IO,IN_RECV,192.168.52.99,192.168.52.110,0.25
00:47:28,NETWORK_IO,IN_RECV,192.168.52.99,192.168.52.110,0.25
